codigo,nombre,url,imagen,hex,rgb,familia,ambiente
57YY 72/138,Blanco Lana,https://www.alba.com.ar/es/paletas-de-colores/blanco-lana-57yy-72-138-3137146,https://msp.images.akzonobel.com/glb/dh/inspirational-images/Livingroom-234491.png,#E4DABF,"228,218,191",Amarillo,
60YY 83/125,Blanco Limón,https://www.alba.com.ar/es/paletas-de-colores/blanco-limon-60yy-83-125-1672544,,#F1E7CD,"241,231,205",Amarillo,
65YY 79/118,Blanco Maíz,https://www.alba.com.ar/es/paletas-de-colores/blanco-maiz-65yy-79-118-3137167,https://msp.images.akzonobel.com/glb/dh/inspirational-images/Livingroom-234587.png,#EBE4CC,"235,228,204",Amarillo,
45YY 77/183,Blanco Milhojas,https://www.alba.com.ar/es/paletas-de-colores/blanco-milhojas-45yy-77-183-1672108,,#F1DFBC,"241,223,188",Amarillo,
40YY 69/666,Botón de Oro,https://www.alba.com.ar/es/paletas-de-colores/boton-de-oro-40yy-69-666-1672011,,#FFD04A,"255,208,74",Amarillo,
48YY 77/529,Brindar,https://www.alba.com.ar/es/paletas-de-colores/brindar-48yy-77-529-1672148,,#FFDD78,"255,221,120",Amarillo,
60YY 79/367,Brisa de Primavera,https://www.alba.com.ar/es/paletas-de-colores/brisa-de-primavera-60yy-79-367-1672540,,#F7DF96,"247,223,150",Amarillo,
50YY 51/519,Brote de Caña,https://www.alba.com.ar/es/paletas-de-colores/brote-de-cana-50yy-51-519-1672383,,#DAB955,"218,185,85",Amarillo,
50YY 71/369,Bálsamo Amarillo,https://www.alba.com.ar/es/paletas-de-colores/balsamo-amarillo-50yy-71-369-1672390,,#F3D68E,"243,214,142",Amarillo,
50YY 65/454,Campana,https://www.alba.com.ar/es/paletas-de-colores/campana-50yy-65-454-1672389,,#EFD077,"239,208,119",Amarillo,
30YY 23/246,Campo Polvoriento,https://www.alba.com.ar/es/paletas-de-colores/campo-polvoriento-30yy-23-246-1671841,,#967D54,"150,125,84",Amarillo,
39YY 66/813,Capa de Lluvia *,https://www.alba.com.ar/es/paletas-de-colores/capa-de-lluvia-39yy-66-813-1671967,,#FFC600,"255,198,0",Amarillo,
60YY 39/654,Capín *,https://www.alba.com.ar/es/paletas-de-colores/capin-60yy-39-654-1672516,,#C4A91B,"196,169,27",Amarillo,
30YY 35/249,Caqui Dorado,https://www.alba.com.ar/es/paletas-de-colores/caqui-dorado-30yy-35-249-1671849,,#B4986D,"180,152,109",Amarillo,
60YY 67/626,Carambola,https://www.alba.com.ar/es/paletas-de-colores/carambola-60yy-67-626-1672529,,#EECF50,"238,207,80",Amarillo,
53YY 83/348,Cidro Helado,https://www.alba.com.ar/es/paletas-de-colores/cidro-helado-53yy-83-348-1672429,,#FDE39F,"253,227,159",Amarillo,
50YY 42/490,Corona Dorada,https://www.alba.com.ar/es/paletas-de-colores/corona-dorada-50yy-42-490-1672379,,#C6A747,"198,167,71",Amarillo,
48YY 80/346,Corriente Estival,https://www.alba.com.ar/es/paletas-de-colores/corriente-estival-48yy-80-346-3137107,https://msp.images.akzonobel.com/glb/dh/inspirational-images/Livingroom-234361.png,#FEE39F,"254,227,159",Amarillo,
40YY 64/165,Costa de Marfil,https://www.alba.com.ar/es/paletas-de-colores/costa-de-marfil-40yy-64-165-1672002,,#DECCAE,"222,204,174",Amarillo,
40YY 67/196,Costa Soleada,https://www.alba.com.ar/es/paletas-de-colores/costa-soleada-40yy-67-196-1672008,,#E4D0AB,"228,208,171",Amarillo,
56YY 85/109,Crema Chic,https://www.alba.com.ar/es/paletas-de-colores/crema-chic-56yy-85-109-3137145,https://msp.images.akzonobel.com/glb/dh/inspirational-images/Livingroom-234458.png,#F4ECD6,"244,236,214",Amarillo,
50YY 77/173,Crema de Boston,https://www.alba.com.ar/es/paletas-de-colores/crema-de-boston-50yy-77-173-1672394,,#F0E1BF,"240,225,191",Amarillo,
40YY 78/140,Crema de Limón,https://www.alba.com.ar/es/paletas-de-colores/crema-de-limon-40yy-78-140-1672022,,#F1E0C6,"241,224,198",Amarillo,
40YY 65/427,Crema de Manzana,https://www.alba.com.ar/es/paletas-de-colores/crema-de-manzana-40yy-65-427-1672006,,#F5CB7B,"245,203,123",Amarillo,
39YY 74/175,Crema Musical,https://www.alba.com.ar/es/paletas-de-colores/crema-musical-39yy-74-175-1671969,,#EDDAB9,"237,218,185",Amarillo,
50YY 77/285,Cremoso,https://www.alba.com.ar/es/paletas-de-colores/cremoso-50yy-77-285-1672395,,#F6DDA6,"246,221,166",Amarillo,
60YY 77/332,Crucero del Sur,https://www.alba.com.ar/es/paletas-de-colores/crucero-del-sur-60yy-77-332-1672538,,#F3DE9C,"243,222,156",Amarillo,
45YY 62/805,Curry *,https://www.alba.com.ar/es/paletas-de-colores/curry-45yy-62-805-1672089,,#F7C500,"247,197,0",Amarillo,
40YY 49/546,Curry Dorado,https://www.alba.com.ar/es/paletas-de-colores/curry-dorado-40yy-49-546-1671995,,#DEB349,"222,179,73",Amarillo,
51YY 61/792,Césped Mostaza *,https://www.alba.com.ar/es/paletas-de-colores/cesped-mostaza-51yy-61-792-3137120,https://msp.images.akzonobel.com/glb/dh/inspirational-images/Livingroom-234450.png,#EFC900,"239,201,0",Amarillo,
43YY 71/540,Deleite Estelar,https://www.alba.com.ar/es/paletas-de-colores/deleite-estelar-43yy-71-540-1672058,,#FED56A,"254,213,106",Amarillo,
44YY 69/140,Desierto Deslumbrante,https://www.alba.com.ar/es/paletas-de-colores/desierto-deslumbrante-44yy-69-140-1672069,,#E3D5BB,"227,213,187",Amarillo,
60YY 48/748,Drama Rústico *,https://www.alba.com.ar/es/paletas-de-colores/drama-rustico-60yy-48-748-1672519,,#D9B500,"217,181,0",Amarillo,
40YY 83/150,Dulce de Coco,https://www.alba.com.ar/es/paletas-de-colores/dulce-de-coco-40yy-83-150-1672030,,#F7E6CA,"247,230,202",Amarillo,
46YY 61/201,Efecto Pardo,https://www.alba.com.ar/es/paletas-de-colores/efecto-pardo-46yy-61-201-3137098,https://msp.images.akzonobel.com/glb/dh/inspirational-images/Livingroom-234350.png,#DBCAA4,"219,202,164",Amarillo,
40YY 38/643,Encaje Portugués *,https://www.alba.com.ar/es/paletas-de-colores/encaje-portugues-40yy-38-643-1671987,,#CA9D08,"202,157,8",Amarillo,
50YY 53/687,Estallido de Azufre *,https://www.alba.com.ar/es/paletas-de-colores/estallido-de-azufre-50yy-53-687-1672384,,#E0BA25,"224,186,37",Amarillo,
48YY 73/573,Estallido Estelar,https://www.alba.com.ar/es/paletas-de-colores/estallido-estelar-48yy-73-573-3137106,https://msp.images.akzonobel.com/glb/dh/inspirational-images/Livingroom-234371.png,#FFD967,"255,217,103",Amarillo,
40YY 64/903,Estrella Ardiente *,https://www.alba.com.ar/es/paletas-de-colores/estrella-ardiente-40yy-64-903-1672003,,#FFC700,"255,199,0",Amarillo,
67YY 89/124,Estrella del Norte,https://www.alba.com.ar/es/paletas-de-colores/estrella-del-norte-67yy-89-124-1672609,,#F7EED4,"247,238,212",Amarillo,
60YY 55/504,Explosión Cítrica,https://www.alba.com.ar/es/paletas-de-colores/explosion-citrica-60yy-55-504-1672520,,#D9C15B,"217,193,91",Amarillo,
47YY 40/227,Fango Mostaza,https://www.alba.com.ar/es/paletas-de-colores/fango-mostaza-47yy-40-227-3137102,https://msp.images.akzonobel.com/glb/dh/inspirational-images/Livingroom-234355.png,#B6A379,"182,163,121",Amarillo,
53YY 88/112,Fantasía Lunar,https://www.alba.com.ar/es/paletas-de-colores/fantasia-lunar-53yy-88-112-3137132,https://msp.images.akzonobel.com/glb/dh/inspirational-images/Livingroom-234489.png,#F8EFD8,"248,239,216",Amarillo,
34YY 31/502,Fantasía Oliva,https://www.alba.com.ar/es/paletas-de-colores/fantasia-oliva-34yy-31-502-3137057,https://msp.images.akzonobel.com/glb/dh/inspirational-images/Livingroom-234242.png,#B68D2C,"182,141,44",Amarillo,
40YY 53/218,Feriado Romano,https://www.alba.com.ar/es/paletas-de-colores/feriado-romano-40yy-53-218-1671997,,#D1BB93,"209,187,147",Amarillo,
60YY 59/604,Filete Dorado,https://www.alba.com.ar/es/paletas-de-colores/filete-dorado-60yy-59-604-1672522,,#E2C347,"226,195,71",Amarillo,
64YY 84/180,Fin de Semana Estival,https://www.alba.com.ar/es/paletas-de-colores/fin-de-semana-estival-64yy-84-180-1672582,,#F4EAC6,"244,234,198",Amarillo,
62YY 86/253,Flash Fotográfico,https://www.alba.com.ar/es/paletas-de-colores/flash-fotografico-62yy-86-253-3137160,https://msp.images.akzonobel.com/glb/dh/inspirational-images/Livingroom-234539.png,#FBEDBA,"251,237,186",Amarillo,
35YY 86/117,Flor de Algodón,https://www.alba.com.ar/es/paletas-de-colores/flor-de-algodon-35yy-86-117-1671940,,#F3E8D0,"243,232,208",Amarillo,
50YY 37/519,Fuente Frutal,https://www.alba.com.ar/es/paletas-de-colores/fuente-frutal-50yy-37-519-1672378,,#BC9E36,"188,158,54",Amarillo,
66YY 61/648,Futurista,https://www.alba.com.ar/es/paletas-de-colores/futurista-66yy-61-648-3137172,https://msp.images.akzonobel.com/glb/dh/inspirational-images/Livingroom-48358.png,#DFCD45,"223,205,69",Amarillo,
40YY 65/263,Granero Amarillo,https://www.alba.com.ar/es/paletas-de-colores/granero-amarillo-40yy-65-263-1672005,,#E7CC9B,"231,204,155",Amarillo,
40YY 34/446,Guirnalda Dorada,https://www.alba.com.ar/es/paletas-de-colores/guirnalda-dorada-40yy-34-446-1671985,,#B89441,"184,148,65",Amarillo,
70YY 83/112,Halo,https://www.alba.com.ar/es/paletas-de-colores/halo-70yy-83-112-1672855,,#F0E9D2,"240,233,210",Amarillo,
51YY 78/444,Inyección de Sol,https://www.alba.com.ar/es/paletas-de-colores/inyeccion-de-sol-51yy-78-444-1672413,,#FEE089,"254,224,137",Amarillo,
39YY 52/691,Juego de Abejorros *,https://www.alba.com.ar/es/paletas-de-colores/juego-de-abejorros-39yy-52-691-1671965,,#E7B523,"231,181,35",Amarillo,
